GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb f_avg Seq in_grs
12.884 -0.289 32.8 0.0058 0.005 134 4.0291 -0.5 -0.6946583704589974 0.7193398003386511 3.393062499999999e-05 2.4958350694444442e-05 0 2771 0
12.894 -0.235 37.1 0.0069 0.0055 177 1.9074 -0.5 -0.9986295347545738 0.05233595624294425 4.812890625e-05 3.0479600694444443e-05 0 2775 0
12.911 -0.266 37.4 0.0066 0.0054 240 2.8729 -0.5 -0.49999999999999967 -0.8660254037844388 4.4074845679012344e-05 2.89055574845679e-05 0 2777 0
12.917 0.452 32.4 0.0076 0.0032 233 1.1397 -0.5 -0.6018150231520483 -0.7986355100472928 5.7359585262345685e-05 1.0098271604938271e-05 0 2779 0
12.915 0.489 34.1 0.0037 0.0029 258 1.3234 -0.5 -0.20791169081775895 -0.9781476007338057 1.4010464891975308e-05 8.466483410493826e-06 0 2780 0
12.915 -0.333 36.7 0.0039 0.0019 269 1.9733 -0.5 -0.017452406437283498 -0.9998476951563913 1.5177517361111113e-05 3.536489197530864e-06 0 2781 0
12.928 -0.075 30.6 0.0039 0.0018 183 1.9215 -0.5 -0.9986295347545738 -0.052335956242944 1.5026390817901234e-05 3.3154340277777773e-06 1 2784 0
12.937 0.358 32.4 0.003 0.0028 164 1.1138 -0.5 -0.9612616959383189 0.2756373558169992 8.891992669753085e-06 7.662131558641977e-06 0 2786 0
12.947 0.343 32.4 0.0034 0.0019 110 1.9215 -0.5 -0.3420201433256687 0.9396926207859084 1.1588350694444447e-05 3.636437114197531e-06 1 2787 0
12.946 -0.248 34.0 0.0045 0.003 186 1.5589 -0.5 -0.9945218953682733 -0.10452846326765348 2.040027777777778e-05 8.817600308641974e-06 0 2788 0
12.947 -0.114 36.2 0.0059 0.0043 253 0.8666 -0.5 -0.2923717047227362 -0.9563047559630357 3.4990511188271606e-05 1.8109753086419755e-05 0 2789 0
12.956 -0.23 33.8 0.0081 0.0049 191 2.5079 -0.5 -0.981627183447664 -0.19080899537654475 6.502630401234569e-05 2.3711489197530863e-05 0 2791 0
12.965 -0.352 13.0 0.0016 0.0015 125 0.8619 -0.5 -0.5735764363510462 0.8191520442889917 2.5599999999999996e-06 2.2960667438271604e-06 0 2794 0
12.962 -0.163 35.1 0.0065 0.0055 251 1.9215 -0.5 -0.32556815445715664 -0.9455185755993168 4.162041859567902e-05 2.971764081790124e-05 1 2796 0
12.981 -0.191 34.0 0.0046 0.0035 205 1.9215 -0.5 -0.90630778703665 -0.4226182617406993 2.124953896604938e-05 1.2308402777777778e-05 1 2799 0
12.992 0.358 30.6 0.0046 0.0018 141 1.0338 -0.5 -0.7771459614569709 0.6293203910498374 2.1096159336419756e-05 3.2650482253086414e-06 0 2803 0
13.001 -0.36 15.1 0.0043 0.0037 167 2.9106 -0.5 -0.9743700647852351 0.2249510543438652 1.8287501929012343e-05 1.3332640817901234e-05 0 2805 0
13.011 -0.176 34.2 0.0066 0.0045 230 2.2206 -0.5 -0.6427876096865396 -0.7660444431189779 4.348669753086419e-05 2.020003086419753e-05 0 2809 0
13.037 -0.317 38.0 0.0044 0.0028 210 1.1468 -0.5 -0.8660254037844388 -0.4999999999999998 1.938445216049383e-05 7.917970679012347e-06 0 2810 0
13.037 -0.334 37.9 0.0032 0.0022 175 1.9215 -0.5 -0.9961946980917455 0.0871557427476582 1.0018983410493827e-05 4.821684027777778e-06 1 2811 0
13.049 -0.188 35.8 0.0038 0.0023 209 1.1703 -0.5 -0.8746197071393959 -0.48480962024633695 1.4822499999999997e-05 5.270850694444444e-06 0 2813 0
13.057 -0.351 40.3 0.0017 0.0014 175 1.9215 -0.5 -0.9961946980917455 0.0871557427476582 2.970835262345679e-06 2.006944444444444e-06 1 2814 0
13.06 -0.167 36.3 0.0055 0.004 192 1.0973 -0.5 -0.9781476007338056 -0.2079116908177595 2.9763086419753087e-05 1.5833767361111108e-05 0 2815 0
13.077 -0.286 38.7 0.0028 0.0013 95 1.9215 -0.5 -0.08715574274765801 0.9961946980917455 7.91015625e-06 1.7372704475308643e-06 1 2817 0
13.078 -0.32 38.4 0.0045 0.0038 239 1.4718 -0.5 -0.5150380749100545 -0.8571673007021121 2.0626736111111114e-05 1.4219184027777775e-05 0 2818 0
13.085 -0.221 55.3 0.004 0.0021 140 1.2528 -0.5 -0.7660444431189779 0.6427876096865395 1.627898341049383e-05 4.592687114197531e-06 0 2820 0
13.093 -0.152 43.7 0.0047 0.0042 167 1.5777 0.5 -0.9743700647852351 0.2249510543438652 2.197265625e-05 1.787410493827161e-05 0 2822 0
13.1 -0.309 38.6 0.0035 0.0025 184 1.1256 -0.5 -0.9975640502598242 -0.06975647374412527 1.2240279706790124e-05 6.222253086419753e-06 0 2823 0
13.107 -0.216 55.3 0.0024 0.0021 198 1.1986 -0.5 -0.9510565162951536 -0.3090169943749473 5.907600308641975e-06 4.610563271604938e-06 0 2824 0
13.12 -0.101 36.1 0.0051 0.0034 265 1.1091 -0.5 -0.08715574274765825 -0.9961946980917455 2.5840277777777783e-05 1.142815586419753e-05 0 2826 0
13.16 -0.463 40.6 0.0066 0.0026 123 1.4082 -0.5 -0.5446390350150271 0.838670567945424 4.299352044753086e-05 6.9271315586419735e-06 0 2834 0
13.173 -0.335 38.6 0.0054 0.0037 151 0.8878 -0.5 -0.8746197071393957 0.48480962024633717 2.968736304012345e-05 1.3628402777777775e-05 0 2839 0
13.231 -0.332 40.7 0.0026 0.0019 182 1.9215 -0.5 -0.9993908270190958 -0.03489949670250089 6.8396778549382705e-06 3.7539062499999998e-06 1 2850 0
13.243 -0.08 37.3 0.0051 0.0046 258 2.5503 -0.5 -0.20791169081775895 -0.9781476007338057 2.568518711419753e-05 2.140347415123457e-05 0 2851 0
13.244 0.16 53.5 0.0026 0.002 225 0.9184 -0.5 -0.7071067811865477 -0.7071067811865475 6.716736111111111e-06 4.0334027777777774e-06 0 2852 0
13.261 -0.41 37.9 0.0058 0.0044 132 2.2512 -0.5 -0.6691306063588582 0.7431448254773942 3.307847415123456e-05 1.898296489197531e-05 0 2857 0
