GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb f_avg MSXDC m_MSXDC
25.1510 -0.2920 63.4000 0.0117 0.0117 305 3.1000 -0.5 0.573576436351046 -0.8191520442889918 0.00013611111111111107 0.00013611111111111107 0 G025.04-00.20 d
24.9740 -0.1660 46.9000 0.0467 0.0133 343 4.2000 -0.5 0.9563047559630353 -0.2923717047227371 0.002177777777777777 0.0001777777777777778 0 G025.04-00.20 a
25.0670 0.1870 39.9000 0.0225 0.0225 126 2.9000 -0.5 -0.587785252292473 0.8090169943749475 0.0005062500000000001 0.0005062500000000001 0 G025.06+00.18 0
25.0880 0.4820 45.5000 0.0467 0.0333 265 1.9000 -0.5 -0.08715574274765825 -0.9961946980917455 0.002177777777777777 0.0011111111111111111 0 G025.08+00.48 0
25.1080 -0.4310 55.4000 0.0725 0.0658 231 4.6000 -0.5 -0.6293203910498378 -0.7771459614569706 0.00525625 0.004334027777777779 0 G025.10-00.43 0
25.1730 0.7550 45.5000 0.0233 0.0083 175 2.6000 -0.5 -0.9961946980917455 0.0871557427476582 0.0005444444444444443 6.944444444444444e-05 0 G025.17+00.75 0
25.2320 -0.4460 55.5000 0.0258 0.0183 101 5.2000 -0.5 -0.1908089953765448 0.981627183447664 0.0006673611111111111 0.00033611111111111114 0 G025.23-00.44 0
25.3770 -0.0610 104.2000 0.0825 0.0292 223 10.4000 -0.5 -0.7313537016191707 -0.6819983600624984 0.006806250000000001 0.0008506944444444445 0 G025.37-00.06 0
25.4070 -0.6480 59.3000 0.1083 0.0742 265 5.8000 -0.5 -0.08715574274765825 -0.9961946980917455 0.011736111111111112 0.005500694444444445 0 G025.40-00.64 0
25.6690 -0.1260 93.8000 0.0425 0.0183 231 4.8000 -0.5 -0.6293203910498378 -0.7771459614569706 0.0018062499999999997 0.00033611111111111114 0 G025.66-00.12 0
25.8360 -0.4720 62.3000 0.0108 0.0075 244 2.8000 -0.5 -0.43837114678907774 -0.8987940462991668 0.00011736111111111112 5.625e-05 0 G025.74-00.44 b
25.6430 -0.3860 92.5000 0.0075 0.0067 349 5.8000 -0.5 0.981627183447664 -0.19080899537654467 5.625e-05 4.444444444444445e-05 0 G025.74-00.44 e
25.7920 0.6140 45.5000 0.0317 0.0242 188 5.3000 -0.5 -0.9902680687415703 -0.13917310096006552 0.0010027777777777776 0.0005840277777777777 0 G025.79+00.61 0
25.7990 0.8150 49.4000 0.0483 0.0358 120 2.8000 -0.5 -0.4999999999999998 0.8660254037844388 0.002336111111111111 0.0012840277777777774 0 G025.79+00.81 0
25.9850 -0.0620 89.8000 0.0167 0.0150 264 3.3000 -0.5 -0.10452846326765423 -0.9945218953682733 0.0002777777777777778 0.000225 0 G025.98-00.06 0
26.0210 -0.6180 61.7000 0.0617 0.0517 225 3.9000 -0.5 -0.7071067811865477 -0.7071067811865475 0.003802777777777778 0.0026694444444444443 0 G026.02-00.61 0
26.0520 0.9440 46.1000 0.0417 0.0208 213 2.0000 -0.5 -0.838670567945424 -0.5446390350150271 0.001736111111111111 0.00043402777777777775 0 G026.05+00.94 0
26.1220 -0.6050 14.8000 0.0308 0.0242 102 0.8000 -0.5 -0.20791169081775934 0.9781476007338057 0.0009506944444444445 0.0005840277777777777 0 G026.12-00.60 0
26.3090 0.2440 71.3000 0.0142 0.0108 305 4.4000 -0.5 0.573576436351046 -0.8191520442889918 0.00020069444444444442 0.00011736111111111112 0 G026.28+00.24 a
26.3160 -0.3730 61.5000 0.0242 0.0183 164 7.0000 -0.5 -0.9612616959383189 0.2756373558169992 0.0005840277777777777 0.00033611111111111114 0 G026.31-00.37 0
26.3400 -0.2750 30.1000 0.0483 0.0150 210 2.6000 -0.5 -0.8660254037844388 -0.4999999999999998 0.002336111111111111 0.000225 0 G026.34-00.27 0
26.4320 -0.1380 23.5000 0.0600 0.0483 243 3.5000 -0.5 -0.4539904997395469 -0.8910065241883678 0.0036 0.002336111111111111 0 G026.43-00.13 0
26.4330 -0.6650 63.9000 0.0275 0.0250 212 5.3000 -0.5 -0.8480480961564261 -0.5299192642332048 0.0007562499999999999 0.0006250000000000001 0 G026.43-00.66 0
26.4690 -0.4050 70.1000 0.0717 0.0150 181 4.5000 -0.5 -0.9998476951563913 -0.017452406437283192 0.0051361111111111095 0.000225 0 G026.46-00.40 0
26.4810 0.7140 48.2000 0.0517 0.0150 176 3.4000 -0.5 -0.9975640502598242 0.06975647374412552 0.0026694444444444443 0.000225 0 G026.48+00.71 0
27.1740 0.8020 83.4000 0.0133 0.0050 172 3.8000 -0.5 -0.9902680687415703 0.13917310096006574 0.0001777777777777778 2.5e-05 0 G027.17+00.80 0
27.3620 -0.7540 67.0000 0.0183 0.0158 123 5.1000 -0.5 -0.5446390350150271 0.838670567945424 0.00033611111111111114 0.0002506944444444444 0 G027.36-00.75 0
27.4000 -0.7740 66.1000 0.0150 0.0117 173 4.9000 -0.5 -0.992546151641322 0.12186934340514755 0.000225 0.00013611111111111107 0 G027.39-00.77 0
27.4180 0.1140 98.8000 0.0600 0.0517 173 4.0000 -0.5 -0.992546151641322 0.12186934340514755 0.0036 0.0026694444444444443 0 G027.41+00.11 0
27.4350 -0.7180 67.3000 0.0333 0.0267 200 3.8000 -0.5 -0.9396926207859084 -0.34202014332566866 0.0011111111111111111 0.0007111111111111113 0 G027.43-00.71 0
