GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb f_avg DESIGNATION in_grs
16.3086 -0.1554 48.818 0.0021 0.0021 0 3.367 -0.5 1.0 0.0 4.586736111111111e-06 4.586736111111111e-06 1 HIGALBM16.3086-0.1554 1
16.3259 -0.1471 48.388 0.0032 0.0032 0 3.367 -0.5 1.0 0.0 1.0080625e-05 1.0080625e-05 1 HIGALBM16.3259-0.1471 1
16.3371 -0.2236 48.897 0.0015 0.0015 0 3.367 -0.5 1.0 0.0 2.175625e-06 2.175625e-06 1 HIGALBM16.3371-0.2236 1
16.3454 -0.1583 48.023 0.0036 0.0036 0 3.367 -0.5 1.0 0.0 1.2731020447530864e-05 1.2731020447530864e-05 1 HIGALBM16.3454-0.1583 1
16.3483 -0.0867 47.15 0.0023 0.0023 0 3.367 -0.5 1.0 0.0 5.360511188271606e-06 5.360511188271606e-06 1 HIGALBM16.3483-0.0867 1
16.3607 -0.3569 39.071 0.0037 0.0037 0 3.367 -0.5 1.0 0.0 1.334278549382716e-05 1.334278549382716e-05 1 HIGALBM16.3607-0.3569 1
16.3737 0.4902 19.292 0.004 0.004 0 3.367 -0.5 1.0 0.0 1.5613474151234566e-05 1.5613474151234566e-05 1 HIGALBM16.3737+0.4902 1
16.378 -0.0422 43.004 0.0032 0.0032 0 3.367 -0.5 1.0 0.0 1.055347415123457e-05 1.055347415123457e-05 1 HIGALBM16.3780-0.0422 1
16.3885 -0.325 38.575 0.002 0.002 0 3.367 -0.5 1.0 0.0 3.873242669753085e-06 3.873242669753085e-06 1 HIGALBM16.3885-0.3250 1
16.4027 -0.1811 46.865 0.0009 0.0009 0 3.367 0.5 1.0 0.0 8.000308641975308e-07 8.000308641975308e-07 1 HIGALBM16.4027-0.1811 1
16.4178 -0.3725 41.12 0.0038 0.0038 0 3.367 -0.5 1.0 0.0 1.4387270447530864e-05 1.4387270447530864e-05 1 HIGALBM16.4178-0.3725 1
16.4178 0.4452 28.184 0.0034 0.0034 0 3.367 -0.5 1.0 0.0 1.1400001929012345e-05 1.1400001929012345e-05 1 HIGALBM16.4178+0.4452 1
16.4204 -0.3662 40.936 0.0036 0.0036 0 3.367 -0.5 1.0 0.0 1.2980007716049385e-05 1.2980007716049385e-05 1 HIGALBM16.4204-0.3662 1
16.4442 -0.1936 46.532 0.0025 0.0025 0 3.367 -0.5 1.0 0.0 6.453011188271604e-06 6.453011188271604e-06 1 HIGALBM16.4442-0.1936 1
16.5493 0.4004 16.684 0.003 0.003 0 3.367 -0.5 1.0 0.0 8.991668595679013e-06 8.991668595679013e-06 1 HIGALBM16.5493+0.4004 1
16.5782 -0.081 41.519 0.0023 0.0023 0 3.367 -0.5 1.0 0.0 5.444444444444446e-06 5.444444444444446e-06 1 HIGALBM16.5782-0.0810 1
16.5849 -0.0505 59.63 0.0011 0.0011 0 3.367 -0.5 1.0 0.0 1.2656249999999998e-06 1.2656249999999998e-06 1 HIGALBM16.5849-0.0505 1
16.5891 -0.1151 42.342 0.0006 0.0006 0 3.367 -0.5 1.0 0.0 4.1352044753086423e-07 4.1352044753086423e-07 1 HIGALBM16.5891-0.1151 1
16.5982 -0.3168 42.758 0.0042 0.0042 0 3.367 0.5 1.0 0.0 1.7909353780864197e-05 1.7909353780864197e-05 1 HIGALBM16.5982-0.3168 1
16.6399 -0.3651 30.239 0.0037 0.0037 0 3.367 -0.5 1.0 0.0 1.3792970679012344e-05 1.3792970679012344e-05 1 HIGALBM16.6399-0.3651 1
16.6507 -0.3043 29.328 0.0027 0.0027 0 3.367 -0.5 1.0 0.0 7.554863040123456e-06 7.554863040123456e-06 1 HIGALBM16.6507-0.3043 1
16.6568 0.1063 15.448 0.0026 0.0026 0 3.367 -0.5 1.0 0.0 6.659266975308639e-06 6.659266975308639e-06 1 HIGALBM16.6568+0.1063 1
16.6612 -0.331 46.48 0.0014 0.0014 0 3.367 0.5 1.0 0.0 1.987316743827161e-06 1.987316743827161e-06 1 HIGALBM16.6612-0.3310 1
16.664 -0.3381 46.275 0.0048 0.0048 0 3.367 0.5 1.0 0.0 2.3294029706790123e-05 2.3294029706790123e-05 1 HIGALBM16.6640-0.3381 1
16.6806 -0.3429 46.094 0.0028 0.0028 0 3.367 0.5 1.0 0.0 7.957100694444443e-06 7.957100694444443e-06 1 HIGALBM16.6806-0.3429 1
16.6896 0.3824 30.794 0.0041 0.0041 0 3.367 -0.5 1.0 0.0 1.6946944444444448e-05 1.6946944444444448e-05 1 HIGALBM16.6896+0.3824 1
16.8309 0.0788 62.475 0.0012 0.0012 0 3.367 0.5 1.0 0.0 1.4002777777777778e-06 1.4002777777777778e-06 1 HIGALBM16.8309+0.0788 1
16.856 -0.143 46.347 0.0019 0.0019 0 3.367 -0.5 1.0 0.0 3.6470389660493825e-06 3.6470389660493825e-06 1 HIGALBM16.8560-0.1430 1
16.8984 -0.0673 41.093 0.0021 0.0021 0 3.367 -0.5 1.0 0.0 4.392517361111111e-06 4.392517361111111e-06 1 HIGALBM16.8984-0.0673 1
16.9036 0.3375 24.075 0.0038 0.0038 0 3.367 -0.5 1.0 0.0 1.476907600308642e-05 1.476907600308642e-05 1 HIGALBM16.9036+0.3375 1
16.9151 0.1987 24.226 0.0035 0.0035 0 3.367 -0.5 1.0 0.0 1.253356674382716e-05 1.253356674382716e-05 1 HIGALBM16.9151+0.1987 1
16.9238 -0.0845 40.76 0.0037 0.0037 0 3.367 -0.5 1.0 0.0 1.3782656250000001e-05 1.3782656250000001e-05 1 HIGALBM16.9238-0.0845 1
16.928 0.218 23.965 0.0024 0.0024 0 3.367 -0.5 1.0 0.0 5.653827160493826e-06 5.653827160493826e-06 1 HIGALBM16.9280+0.2180 1
16.9282 0.4629 24.519 0.0041 0.0041 0 3.367 -0.5 1.0 0.0 1.648134452160494e-05 1.648134452160494e-05 1 HIGALBM16.9282+0.4629 1
16.9341 0.3724 23.164 0.0031 0.0031 0 3.367 -0.5 1.0 0.0 9.870069444444444e-06 9.870069444444444e-06 1 HIGALBM16.9341+0.3724 1
16.9696 0.2642 22.409 0.0045 0.0045 0 3.367 -0.5 1.0 0.0 2.0000771604938277e-05 2.0000771604938277e-05 1 HIGALBM16.9696+0.2642 1
16.9749 -0.2229 42.677 0.0037 0.0037 0 3.367 -0.5 1.0 0.0 1.3731141975308644e-05 1.3731141975308644e-05 1 HIGALBM16.9749-0.2229 1
16.9974 0.418 25.316 0.002 0.002 0 3.367 -0.5 1.0 0.0 4.162733410493826e-06 4.162733410493826e-06 1 HIGALBM16.9974+0.4180 1
17.0143 -0.0807 94.187 0.0031 0.0031 0 3.367 0.5 1.0 0.0 9.46416859567901e-06 9.46416859567901e-06 1 HIGALBM17.0143-0.0807 1
17.0285 0.2813 23.022 0.0026 0.0026 0 3.367 -0.5 1.0 0.0 6.573526234567902e-06 6.573526234567902e-06 1 HIGALBM17.0285+0.2813 1
