| x_pos | y_pos | z_pos |   lon |   lat |   vel | comp |    dist | e_dist |   prob | arm |
|     0 |    71 |   237 | 20.01 | -0.67 |  45.4 |    1 |  3.3639 | 0.1763 |    1.0 | ScN |
|     0 |    71 |   250 | 20.01 | -0.67 |  48.2 |    1 |  3.3953 | 0.1779 |    1.0 | ScN |
|     0 |    72 |   134 | 20.01 | -0.66 |  23.5 |    1 |  1.8426 | 0.2168 | 0.7516 | SgN |
|     0 |    72 |   134 | 20.01 | -0.66 |  23.5 |    2 |  3.1631 | 0.2649 | 0.2484 | ScN |
|     0 |    72 |   218 | 20.01 | -0.66 |  41.4 |    1 |  3.3161 |  0.181 |    1.0 | ScN |
|     0 |    72 |   235 | 20.01 | -0.66 |  45.0 |    1 |  3.3593 | 0.1765 |    1.0 | ScN |
|     0 |    73 |   219 | 20.01 | -0.66 |  41.6 |    1 |  3.3186 | 0.1806 |    1.0 | ScN |
|     0 |    73 |   235 | 20.01 | -0.66 |  45.0 |    1 |  3.3593 | 0.1765 |    1.0 | ScN |
|     0 |    74 |   223 | 20.01 | -0.65 |  42.4 |    1 |  3.3283 | 0.1791 |    1.0 | ScN |
|     0 |    74 |   331 | 20.01 | -0.65 |  65.4 |    1 |  3.7479 | 0.4335 | 0.3179 | ScN |
|     0 |    74 |   331 | 20.01 | -0.65 |  65.4 |    2 |  5.0129 | 0.3225 | 0.6821 | Nor |
|     0 |    75 |   136 | 20.01 | -0.64 |  24.0 |    1 |  1.8489 | 0.2175 | 0.7142 | SgN |
|     0 |    75 |   136 | 20.01 | -0.64 |  24.0 |    2 |  3.1639 | 0.2623 | 0.2858 | ScN |
|     0 |    75 |   218 | 20.01 | -0.64 |  41.4 |    1 |   3.316 | 0.1813 |    1.0 | ScN |
|     0 |    75 |   234 | 20.01 | -0.64 |  44.8 |    1 |   3.357 | 0.1768 |    1.0 | ScN |
|     0 |    75 |   331 | 20.01 | -0.64 |  65.4 |    1 |  3.7514 |  0.435 | 0.3129 | ScN |
|     0 |    75 |   331 | 20.01 | -0.64 |  65.4 |    2 |  5.0162 | 0.3234 | 0.6871 | Nor |
|     0 |    76 |   136 | 20.01 | -0.64 |  24.0 |    1 |  1.8489 | 0.2175 | 0.7142 | SgN |
|     0 |    76 |   136 | 20.01 | -0.64 |  24.0 |    2 |  3.1639 | 0.2623 | 0.2858 | ScN |
|     0 |    76 |   218 | 20.01 | -0.64 |  41.4 |    1 |   3.316 | 0.1813 |    1.0 | ScN |
|     0 |    76 |   230 | 20.01 | -0.64 |  43.9 |    1 |  3.3465 | 0.1774 |    1.0 | ScN |
|     0 |    76 |   283 | 20.01 | -0.64 |  55.2 |    1 |  3.4574 | 0.1954 |    1.0 | ScN |
|     0 |    76 |   330 | 20.01 | -0.64 |  65.2 |    1 |  3.7494 | 0.4322 | 0.3249 | ScN |
|     0 |    76 |   330 | 20.01 | -0.64 |  65.2 |    2 |  5.0167 | 0.3255 | 0.6751 | Nor |
|     0 |    77 |   136 | 20.01 | -0.63 |  24.0 |    1 |   1.849 | 0.2175 | 0.7144 | SgN |
|     0 |    77 |   136 | 20.01 | -0.63 |  24.0 |    2 |  3.1637 | 0.2623 | 0.2856 | ScN |
|     0 |    77 |   223 | 20.01 | -0.63 |  42.4 |    1 |  3.3283 | 0.1794 |    1.0 | ScN |
|     0 |    77 |   328 | 20.01 | -0.63 |  64.8 |    1 |  3.7482 | 0.4275 | 0.3458 | ScN |
|     0 |    77 |   328 | 20.01 | -0.63 |  64.8 |    2 |  5.0208 | 0.3299 | 0.6542 | Nor |
|     0 |    78 |   137 | 20.01 | -0.63 |  24.2 |    1 |  1.8514 | 0.2179 | 0.6982 | SgN |
|     0 |    78 |   137 | 20.01 | -0.63 |  24.2 |    2 |  3.1641 | 0.2613 | 0.3018 | ScN |
|     0 |    78 |   224 | 20.01 | -0.63 |  42.7 |    1 |  3.3319 | 0.1789 |    1.0 | ScN |
|     0 |    78 |   267 | 20.01 | -0.63 |  51.8 |    1 |  3.4324 | 0.1847 |    1.0 | ScN |
|     0 |    78 |   327 | 20.01 | -0.63 |  64.5 |    1 |   3.744 | 0.4224 | 0.3662 | ScN |
|     0 |    78 |   327 | 20.01 | -0.63 |  64.5 |    2 |  5.0216 | 0.3325 | 0.6338 | Nor |
|     0 |    79 |   136 | 20.01 | -0.62 |  24.0 |    1 |   1.849 | 0.2175 | 0.7147 | SgN |
|     0 |    79 |   136 | 20.01 | -0.62 |  24.0 |    2 |  3.1633 | 0.2624 | 0.2853 | ScN |
|     0 |    79 |   224 | 20.01 | -0.62 |  42.7 |    1 |  3.3319 | 0.1791 |    1.0 | ScN |
|     0 |    79 |   233 | 20.01 | -0.62 |  44.6 |    1 |  3.3547 | 0.1772 |    1.0 | ScN |
|     0 |    79 |   278 | 20.01 | -0.62 |  54.1 |    1 |  3.4509 |  0.192 |    1.0 | ScN |
|     0 |    80 |   137 | 20.01 | -0.61 |  24.2 |    1 |  1.8515 | 0.2179 | 0.6988 | SgN |
|     0 |    80 |   137 | 20.01 | -0.61 |  24.2 |    2 |  3.1635 | 0.2614 | 0.3012 | ScN |
|     0 |    80 |   226 | 20.01 | -0.61 |  43.1 |    1 |  3.3367 | 0.1787 |    1.0 | ScN |
|     0 |    80 |   249 | 20.01 | -0.61 |  48.0 |    1 |  3.3936 | 0.1787 |    1.0 | ScN |
|     0 |    80 |   328 | 20.01 | -0.61 |  64.8 |    1 |  3.7549 | 0.4307 | 0.3362 | ScN |
|     0 |    80 |   328 | 20.01 | -0.61 |  64.8 |    2 |  5.0277 | 0.3318 | 0.6638 | Nor |
|     0 |    81 |   137 | 20.01 | -0.61 |  24.2 |    1 |  1.8515 | 0.2179 | 0.6988 | SgN |
|     0 |    81 |   137 | 20.01 | -0.61 |  24.2 |    2 |  3.1635 | 0.2614 | 0.3012 | ScN |
|     0 |    81 |   227 | 20.01 | -0.61 |  43.3 |    1 |  3.3391 | 0.1784 |    1.0 | ScN |
|     0 |    81 |   249 | 20.01 | -0.61 |  48.0 |    1 |  3.3936 | 0.1787 |    1.0 | ScN |
|     0 |    82 |   136 | 20.01 |  -0.6 |  24.0 |    1 |  1.8491 | 0.2175 | 0.7154 | SgN |
|     0 |    82 |   136 | 20.01 |  -0.6 |  24.0 |    2 |  3.1628 | 0.2625 | 0.2846 | ScN |
|     0 |    82 |   229 | 20.01 |  -0.6 |  43.7 |    1 |  3.3441 | 0.1782 |    1.0 | ScN |
|     0 |    82 |   250 | 20.01 |  -0.6 |  48.2 |    1 |  3.3959 | 0.1791 |    1.0 | ScN |
|     0 |    83 |   136 | 20.01 |  -0.6 |  24.0 |    1 |  1.8491 | 0.2175 | 0.7154 | SgN |
|     0 |    83 |   136 | 20.01 |  -0.6 |  24.0 |    2 |  3.1628 | 0.2625 | 0.2846 | ScN |
|     0 |    83 |   231 | 20.01 |  -0.6 |  44.1 |    1 |  3.3488 | 0.1778 |    1.0 | ScN |
|     0 |    83 |   250 | 20.01 |  -0.6 |  48.2 |    1 |  3.3959 | 0.1791 |    1.0 | ScN |
|     0 |    83 |   280 | 20.01 |  -0.6 |  54.6 |    1 |  3.4547 | 0.1942 |    1.0 | ScN |
|     0 |    84 |   136 | 20.01 | -0.59 |  24.0 |    1 |  1.8491 | 0.2175 | 0.7159 | SgN |
|     0 |    84 |   136 | 20.01 | -0.59 |  24.0 |    2 |  3.1625 | 0.2625 | 0.2841 | ScN |
|     0 |    84 |   232 | 20.01 | -0.59 |  44.4 |    1 |  3.3524 | 0.1778 |    1.0 | ScN |
|     0 |    84 |   250 | 20.01 | -0.59 |  48.2 |    1 |   3.396 | 0.1793 |    1.0 | ScN |
|     0 |    84 |   278 | 20.01 | -0.59 |  54.1 |    1 |  3.4515 | 0.1926 |    1.0 | ScN |
|     0 |    85 |   135 | 20.01 | -0.58 |  23.7 |    1 |  1.8456 |  0.217 | 0.7393 | SgN |
|     0 |    85 |   135 | 20.01 | -0.58 |  23.7 |    2 |  3.1615 | 0.2641 | 0.2607 | ScN |
|     0 |    85 |   231 | 20.01 | -0.58 |  44.1 |    1 |  3.3488 | 0.1781 |    1.0 | ScN |
